name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
"Broccoli, raw, leaves",100 g,28,0.4g,0,27.00 mg,2.98 g,5.06 g,2.3 g,1.48 g
"Durian, raw or frozen",100 g,147,5.3g,0,2.00 mg,1.47 g,27.09 g,3.8 g,0
"Tomatoes, raw, orange",100 g,16,0.2g,0,42.00 mg,1.16 g,3.18 g,0.9 g,0
"Tomatoes, raw, yellow",100 g,15,0.3g,0,23.00 mg,0.98 g,2.98 g,0.7 g,0
"Egg custards, dry mix",100 g,410,6.4g,258mg,281.00 mg,6.90 g,82.80 g,0.0 g,0
"Peanut flour, low fat",100 g,428,22g,0,1.00 mg,33.80 g,31.27 g,15.8 g,0
"Fish, smoked, haddock",100 g,116,1g,77mg,763.00 mg,25.23 g,0.00 g,0.0 g,0.00 g
"DENNY'S, french fries",100 g,282,14g,0,44.00 mg,3.41 g,35.20 g,3.5 g,0.85 g
"Ground turkey, cooked",100 g,203,10g,93mg,78.00 mg,27.37 g,0.00 g,0.0 g,0.00 g
"MURRAY, Vanilla Wafer",100 g,461,17g,1mg,401.00 mg,4.00 g,72.90 g,1.4 g,31.50 g
"WENDY'S, french fries",100 g,301,14g,0,219.00 mg,3.73 g,39.73 g,4.0 g,0.40 g
"Bread, toasted, wheat",100 g,313,4.3g,0,601.00 mg,12.96 g,55.77 g,4.7 g,6.42 g
"Danish pastry, cheese",100 g,374,22g,23mg,417.00 mg,8.00 g,37.20 g,1.0 g,6.95 g
"Nuts, glazed, walnuts",100 g,500,36g,0,446.00 mg,8.28 g,47.59 g,3.6 g,32.14 g
"Spices, garlic powder",100 g,331,0.7g,0,60.00 mg,16.55 g,72.73 g,9.0 g,2.43 g
"Oil, soybean lecithin",100 g,763,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Egg, fresh, raw, yolk",100 g,322,27g,1085mg,48.00 mg,15.86 g,3.59 g,0.0 g,0.56 g
"Fireweed, raw, leaves",100 g,103,2.8g,0,34.00 mg,4.71 g,19.22 g,10.6 g,0
"Beef, pastrami, cured",100 g,147,5.8g,68mg,1078.00 mg,21.80 g,0.36 g,0.0 g,0.10 g
"Frankfurter, meatless",100 g,233,14g,0,471.00 mg,19.61 g,7.70 g,3.9 g,0.00 g
"Emu, raw, flat fillet",100 g,102,0.7g,71mg,150.00 mg,22.25 g,0.00 g,0.0 g,0.00 g
"Emu, raw, inside drum",100 g,108,1.5g,67mg,102.00 mg,22.22 g,0.00 g,0.0 g,0.00 g
"Ice creams, chocolate",100 g,216,11g,34mg,76.00 mg,3.80 g,28.20 g,1.2 g,25.36 g
"Snacks, potato sticks",100 g,522,34g,0,633.00 mg,6.70 g,53.30 g,3.4 g,0.22 g
"USDA Commodity, salsa",100 g,36,0.2g,0,430.00 mg,1.50 g,7.00 g,1.4 g,0
"Figs, uncooked, dried",100 g,249,0.9g,0,10.00 mg,3.30 g,63.87 g,9.8 g,47.92 g
"Game meat, raw, horse",100 g,133,4.6g,52mg,53.00 mg,21.39 g,0.00 g,0.0 g,0
"Syrup, fruit flavored",100 g,261,0g,0,0.00 mg,0.00 g,65.10 g,0.0 g,65.00 g
"Broccoli, raw, stalks",100 g,28,0.4g,0,27.00 mg,2.98 g,5.24 g,0,0
"Cream, cultured, sour",100 g,198,19g,59mg,31.00 mg,2.44 g,4.63 g,0.0 g,3.41 g
"Gravy, canned, au jus",100 g,16,0.2g,0,478.00 mg,1.20 g,2.50 g,0.0 g,0
"McDONALD'S, Hamburger",100 g,264,10g,27mg,494.00 mg,12.92 g,30.28 g,1.3 g,6.03 g
"Cheese, port de salut",100 g,352,28g,123mg,534.00 mg,23.78 g,0.57 g,0.0 g,0.57 g
SILK Original Creamer,100 g,100,6.7g,0,67.00 mg,0.00 g,6.67 g,0.0 g,0.00 g
SILK Hazelnut Creamer,100 g,133,6.7g,0,67.00 mg,0.00 g,20.00 g,0.0 g,20.00 g
"Soup, mix, dry, onion",100 g,293,0.3g,0,8031.00 mg,7.48 g,65.07 g,6.6 g,4.65 g
"Mushrooms, raw, enoki",100 g,37,0.3g,0,3.00 mg,2.66 g,7.81 g,2.7 g,0.22 g
Bacon and beef sticks,100 g,517,44g,102mg,1420.00 mg,29.10 g,0.80 g,0.0 g,0.80 g
"Salami, pork, Italian",100 g,425,37g,80mg,1890.00 mg,21.70 g,1.20 g,0.0 g,1.20 g
"Crackers, whole-wheat",100 g,427,14g,0,704.00 mg,10.58 g,69.55 g,10.3 g,1.19 g
"Peanuts, raw, spanish",100 g,570,50g,0,22.00 mg,26.15 g,15.83 g,9.5 g,0
"Hominy, white, canned",100 g,72,0.9g,0,345.00 mg,1.48 g,14.26 g,2.5 g,1.82 g
"Game meat, raw, moose",100 g,102,0.7g,59mg,65.00 mg,22.24 g,0.00 g,0.0 g,0
"Pears, red anjou, raw",100 g,62,0.1g,0,1.00 mg,0.33 g,14.94 g,3.0 g,9.54 g
"Horseradish, prepared",100 g,48,0.7g,0,420.00 mg,1.18 g,11.29 g,3.3 g,7.99 g
"Fish, raw, butterfish",100 g,146,8g,65mg,89.00 mg,17.28 g,0.00 g,0.0 g,0
"Lebanon bologna, beef",100 g,172,10g,55mg,1374.00 mg,19.03 g,0.44 g,0.0 g,0.00 g
Ham and cheese spread,100 g,245,19g,61mg,1197.00 mg,16.18 g,2.28 g,0.0 g,0
"TACO BELL, Taco Salad",100 g,170,9.2g,19mg,363.00 mg,6.69 g,15.10 g,3.0 g,0
"Sauce, worcestershire",100 g,78,0g,0,980.00 mg,0.00 g,19.46 g,0.0 g,10.03 g
"Candies, marshmallows",100 g,318,0.2g,0,80.00 mg,1.80 g,81.30 g,0.1 g,57.56 g
"Hummus, home prepared",100 g,177,8.6g,0,242.00 mg,4.86 g,20.12 g,4.0 g,0.27 g
Horned melon (Kiwano),100 g,44,1.3g,0,2.00 mg,1.78 g,7.56 g,0,0
Ice cream sundae cone,100 g,254,14g,15mg,115.00 mg,3.00 g,28.89 g,1.0 g,21.26 g
"Peppers, raw, serrano",100 g,32,0.4g,0,10.00 mg,1.74 g,6.70 g,3.7 g,3.83 g
"Cabbage, cooked, napa",100 g,12,0.2g,0,11.00 mg,1.10 g,2.23 g,0,0
"Peppers, dried, ancho",100 g,281,8.2g,0,43.00 mg,11.86 g,51.42 g,21.6 g,0
"Parsley, freeze-dried",100 g,271,5.2g,0,391.00 mg,31.30 g,42.38 g,32.7 g,0
"Spices, black, pepper",100 g,251,3.3g,0,20.00 mg,10.39 g,63.95 g,25.3 g,0.64 g
"Spices, white, pepper",100 g,296,2.1g,0,5.00 mg,10.40 g,68.61 g,26.2 g,0
"Yambean (jicama), raw",100 g,38,0.1g,0,4.00 mg,0.72 g,8.82 g,4.9 g,1.80 g
"Nuts, dried, pilinuts",100 g,719,80g,0,3.00 mg,10.80 g,3.98 g,0,0
"Kiwifruit, raw, green",100 g,61,0.5g,0,3.00 mg,1.14 g,14.66 g,3.0 g,8.99 g
"Drumstick leaves, raw",100 g,64,1.4g,0,9.00 mg,9.40 g,8.28 g,2.0 g,0
"Yautia (tannier), raw",100 g,98,0.4g,0,21.00 mg,1.46 g,23.63 g,1.5 g,0
"Candies, butterscotch",100 g,391,3.3g,9mg,391.00 mg,0.03 g,90.40 g,0.0 g,80.46 g
"Cucumber, raw, peeled",100 g,12,0.2g,0,2.00 mg,0.59 g,2.16 g,0.7 g,1.38 g
"Dandelion greens, raw",100 g,45,0.7g,0,76.00 mg,2.70 g,9.20 g,3.5 g,0.71 g
"Melons, raw, honeydew",100 g,36,0.1g,0,18.00 mg,0.54 g,9.09 g,0.8 g,8.12 g
Potato salad with egg,100 g,157,9.4g,17mg,329.00 mg,1.96 g,16.18 g,1.3 g,4.95 g
"Mushrooms, raw, white",100 g,22,0.3g,0,5.00 mg,3.09 g,3.26 g,1.0 g,1.98 g
"Mushrooms, raw, morel",100 g,31,0.6g,0,21.00 mg,3.12 g,5.10 g,2.8 g,0.60 g
"Cheese, Mexican blend",100 g,358,29g,95mg,338.00 mg,23.54 g,1.75 g,0.0 g,1.23 g
"Oranges, Florida, raw",100 g,46,0.2g,0,0.00 mg,0.70 g,11.54 g,2.4 g,9.14 g
"SILK Vanilla, soymilk",100 g,41,1.4g,0,39.00 mg,2.47 g,4.12 g,0.4 g,2.88 g
"Papaya nectar, canned",100 g,57,0.2g,0,5.00 mg,0.17 g,14.51 g,0.6 g,13.91 g
"Fiddlehead ferns, raw",100 g,34,0.4g,0,1.00 mg,4.55 g,5.54 g,0,0
SILK Peach soy yogurt,100 g,94,1.2g,0,15.00 mg,2.35 g,18.82 g,0.6 g,14.71 g
SILK Plain soy yogurt,100 g,66,1.8g,0,13.00 mg,2.64 g,9.69 g,0.4 g,5.29 g
"PACE, Enchilada Sauce",100 g,40,0g,0,867.00 mg,1.67 g,8.33 g,1.7 g,6.67 g
Yeast extract spread,100 g,185,0.9g,0,3380.00 mg,23.88 g,20.42 g,6.5 g,1.60 g
"Tomatoes, raw, green",100 g,23,0.2g,0,13.00 mg,1.20 g,5.10 g,1.1 g,4.00 g
"Mollusks, raw, snail",100 g,90,1.4g,50mg,70.00 mg,16.10 g,2.00 g,0.0 g,0.00 g
"Emu, raw, fan fillet",100 g,103,0.8g,71mg,120.00 mg,22.50 g,0.00 g,0.0 g,0.00 g
"Pasta, enriched, dry",100 g,371,1.5g,0,6.00 mg,13.04 g,74.67 g,3.2 g,2.67 g
"Cookies, gingersnaps",100 g,416,9.8g,0,501.00 mg,5.60 g,76.90 g,2.2 g,19.92 g
"Sour cream, fat free",100 g,74,0g,9mg,141.00 mg,3.10 g,15.60 g,0.0 g,0.39 g
"MURRAY, Honey Graham",100 g,445,13g,0,477.00 mg,5.90 g,75.70 g,2.7 g,22.00 g
"Frankfurter, chicken",100 g,223,16g,96mg,1027.00 mg,15.51 g,2.74 g,0.0 g,2.98 g
"Ham, canned, chopped",100 g,239,19g,49mg,1280.00 mg,16.06 g,0.26 g,0.0 g,0.00 g
"Spices, dried, thyme",100 g,276,7.4g,0,55.00 mg,9.11 g,63.94 g,37.0 g,1.71 g
"Carrot juice, canned",100 g,40,0.2g,0,66.00 mg,0.95 g,9.28 g,0.8 g,3.91 g
"Corn, dried (Navajo)",100 g,386,5.2g,0,13.00 mg,9.88 g,74.93 g,0,5.38 g
"Pate, truffle flavor",100 g,327,29g,105mg,807.00 mg,11.20 g,6.30 g,0,0
"Fruit butters, apple",100 g,173,0.3g,0,15.00 mg,0.39 g,42.47 g,1.5 g,35.30 g
"Fast foods, coleslaw",100 g,153,9.9g,4mg,203.00 mg,0.95 g,14.89 g,1.9 g,12.19 g
"Salami, beef, cooked",100 g,261,22g,71mg,1140.00 mg,12.60 g,1.90 g,0.0 g,1.50 g
"Spices, chili powder",100 g,282,14g,0,2867.00 mg,13.46 g,49.70 g,34.8 g,7.19 g
"Spices, caraway seed",100 g,333,15g,0,17.00 mg,19.77 g,49.90 g,38.0 g,0.64 g
"Spices, dried, basil",100 g,233,4.1g,0,76.00 mg,22.98 g,47.75 g,37.7 g,1.71 g
"Pickle relish, sweet",100 g,130,0.5g,0,811.00 mg,0.37 g,35.06 g,1.1 g,29.13 g
"Chives, freeze-dried",100 g,311,3.5g,0,70.00 mg,21.20 g,64.29 g,26.2 g,0
"Fish, raw, sablefish",100 g,195,15g,49mg,56.00 mg,13.41 g,0.00 g,0.0 g,0
"Crackers, multigrain",100 g,482,20g,0,883.00 mg,7.10 g,67.60 g,3.5 g,12.00 g
"Spices, ground, mace",100 g,475,32g,0,80.00 mg,6.71 g,50.50 g,20.2 g,0
"Spices, onion powder",100 g,341,1g,0,73.00 mg,10.41 g,79.12 g,15.2 g,6.63 g
"Butter, without salt",100 g,717,81g,215mg,11.00 mg,0.85 g,0.06 g,0.0 g,0.06 g
"Rice noodles, cooked",100 g,108,0.2g,0,19.00 mg,1.79 g,24.01 g,1.0 g,0.03 g
Barley flour or meal,100 g,345,1.6g,0,4.00 mg,10.50 g,74.52 g,10.1 g,0.80 g
"Sesbania flower, raw",100 g,27,0g,0,15.00 mg,1.28 g,6.73 g,0,0
"Garlic bread, frozen",100 g,350,17g,0,544.00 mg,8.36 g,41.72 g,2.5 g,3.69 g
"KFC, Popcorn Chicken",100 g,351,22g,40mg,1140.00 mg,17.67 g,21.18 g,1.0 g,0.00 g
"APPLEBEE'S, coleslaw",100 g,120,7.1g,2mg,178.00 mg,0.79 g,13.17 g,2.8 g,9.33 g
"Rolls, sweet, dinner",100 g,321,7.4g,55mg,253.00 mg,10.04 g,53.58 g,3.1 g,15.38 g
"Cherries, raw, sweet",100 g,63,0.2g,0,0.00 mg,1.06 g,16.01 g,2.1 g,12.82 g
"Ostrich, raw, ground",100 g,165,8.7g,71mg,72.00 mg,20.22 g,0.00 g,0.0 g,0.00 g
"SILK Coffee, soymilk",100 g,62,1.4g,0,41.00 mg,2.06 g,10.29 g,0.0 g,9.47 g
"Snacks, banana chips",100 g,519,34g,0,6.00 mg,2.30 g,58.40 g,7.7 g,35.34 g
"Peaches, raw, yellow",100 g,39,0.3g,0,0.00 mg,0.91 g,9.54 g,1.5 g,8.39 g
"Rolls, wheat, dinner",100 g,273,6.3g,0,524.00 mg,8.60 g,46.00 g,3.8 g,1.63 g
"Candies, HEATH BITES",100 g,530,30g,19mg,245.00 mg,3.94 g,63.39 g,2.0 g,60.02 g
"Chicken, raw, ground",100 g,143,8.1g,86mg,60.00 mg,17.44 g,0.04 g,0.0 g,0.00 g
"Pears, bartlett, raw",100 g,63,0.2g,0,1.00 mg,0.39 g,15.01 g,3.1 g,9.69 g
"Toppings, strawberry",100 g,254,0.1g,0,21.00 mg,0.20 g,66.30 g,0.7 g,27.38 g
"KEEBLER, Sugar Cones",100 g,375,3.7g,0,326.00 mg,7.30 g,78.00 g,2.1 g,26.40 g
"Seaweed, raw, wakame",100 g,45,0.6g,0,872.00 mg,3.03 g,9.14 g,0.5 g,0.65 g
"Seaweed, dried, agar",100 g,306,0.3g,0,102.00 mg,6.21 g,80.88 g,7.7 g,2.97 g
"Bread, cracked-wheat",100 g,260,3.9g,0,538.00 mg,8.70 g,49.50 g,5.5 g,0
"Amaranth leaves, raw",100 g,23,0.3g,0,20.00 mg,2.46 g,4.02 g,0,0
"Barley, raw, pearled",100 g,352,1.2g,0,9.00 mg,9.91 g,77.72 g,15.6 g,0.80 g
"Polish sausage, pork",100 g,326,29g,70mg,876.00 mg,14.10 g,1.63 g,0.0 g,0
"Spices, curry powder",100 g,325,14g,0,52.00 mg,14.29 g,55.83 g,53.2 g,2.76 g
"Bacon bits, meatless",100 g,476,26g,0,1770.00 mg,32.00 g,28.60 g,10.2 g,0.00 g
"Semolina, unenriched",100 g,360,1.1g,0,1.00 mg,12.68 g,72.83 g,3.9 g,0
"Grape leaves, canned",100 g,69,2g,0,2853.00 mg,4.27 g,11.71 g,9.9 g,0
"Spices, ground, sage",100 g,315,13g,0,11.00 mg,10.63 g,60.73 g,40.3 g,1.71 g
"PACE, Red Taco Sauce",100 g,50,0g,0,813.00 mg,0.00 g,12.50 g,0.0 g,6.25 g
"DENNY'S, hash browns",100 g,197,9g,0,468.00 mg,2.49 g,26.59 g,2.7 g,1.38 g
"DENNY'S, onion rings",100 g,385,22g,0,780.00 mg,5.29 g,41.05 g,2.4 g,4.76 g
"Ostrich, raw, oyster",100 g,125,3.7g,73mg,83.00 mg,21.55 g,0.00 g,0.0 g,0.00 g
"Oil, corn and canola",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Pumpkin flowers, raw",100 g,15,0.1g,0,5.00 mg,1.03 g,3.28 g,0,0
"Celery flakes, dried",100 g,319,2.1g,0,1435.00 mg,11.30 g,63.70 g,27.8 g,35.90 g
"Crackers, egg, matzo",100 g,391,2.1g,83mg,21.00 mg,12.30 g,78.60 g,2.8 g,0
"Loganberries, frozen",100 g,55,0.3g,0,1.00 mg,1.52 g,13.02 g,5.3 g,7.70 g
"Tangerine juice, raw",100 g,43,0.2g,0,1.00 mg,0.50 g,10.10 g,0.2 g,9.90 g
"Soybeans, raw, green",100 g,147,6.8g,0,15.00 mg,12.95 g,11.05 g,4.2 g,0
"Soybean, curd cheese",100 g,151,8.1g,0,20.00 mg,12.50 g,6.90 g,0.0 g,1.60 g
"Game meat, raw, bear",100 g,161,8.3g,0,0,20.10 g,0.00 g,0.0 g,0
"Game meat, raw, deer",100 g,120,2.4g,85mg,51.00 mg,22.96 g,0.00 g,0.0 g,0.00 g
"Oranges, navels, raw",100 g,49,0.2g,0,1.00 mg,0.91 g,12.54 g,2.2 g,8.50 g
"Tostada shells, corn",100 g,474,23g,0,657.00 mg,6.15 g,64.43 g,5.8 g,0
"Fish, raw, swordfish",100 g,144,6.7g,66mg,81.00 mg,19.66 g,0.00 g,0.0 g,0.00 g
"Taro, raw, tahitian",100 g,44,1g,0,50.00 mg,2.79 g,6.91 g,0,0
"Chicory greens, raw",100 g,23,0.3g,0,45.00 mg,1.70 g,4.70 g,4.0 g,0.70 g
"Hearts of palm, raw",100 g,115,0.2g,0,14.00 mg,2.70 g,25.61 g,1.5 g,17.16 g
"Chayote, raw, fruit",100 g,19,0.1g,0,2.00 mg,0.82 g,4.51 g,1.7 g,1.66 g
"Fish, smoked, cisco",100 g,177,12g,32mg,481.00 mg,16.36 g,0.00 g,0.0 g,0.00 g
"Frankfurter, turkey",100 g,223,17g,77mg,911.00 mg,12.23 g,3.81 g,0.0 g,1.21 g
"Candies, jellybeans",100 g,375,0.1g,0,50.00 mg,0.00 g,93.55 g,0.2 g,70.00 g
"Oil, ucuhuba butter",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
Soy protein isolate,100 g,335,3.4g,0,1005.00 mg,88.32 g,0.00 g,0.0 g,0.00 g
"Syrups, light, corn",100 g,283,0.2g,0,62.00 mg,0.00 g,76.79 g,0.0 g,76.77 g
"Fish, raw, milkfish",100 g,148,6.7g,52mg,72.00 mg,20.53 g,0.00 g,0.0 g,0
"Fish, raw, monkfish",100 g,76,1.5g,25mg,18.00 mg,14.48 g,0.00 g,0.0 g,0
"Mother's loaf, pork",100 g,282,22g,45mg,1127.00 mg,12.07 g,7.53 g,0.0 g,0
"Tapioca, dry, pearl",100 g,358,0g,0,1.00 mg,0.19 g,88.69 g,0.9 g,3.35 g
"Guavas, raw, common",100 g,68,1g,0,2.00 mg,2.55 g,14.32 g,5.4 g,8.92 g
"Spices, celery seed",100 g,392,25g,0,160.00 mg,18.07 g,41.35 g,11.8 g,0.67 g
"Candies, peanut bar",100 g,522,34g,0,156.00 mg,15.50 g,47.40 g,4.1 g,42.22 g
"Bread, toasted, rye",100 g,284,3.6g,0,664.00 mg,9.40 g,53.10 g,6.4 g,4.23 g
"Oil, apricot kernel",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Candies, YORK BITES",100 g,394,7.3g,1mg,46.00 mg,1.78 g,81.64 g,2.0 g,75.00 g
"Meatballs, meatless",100 g,197,9g,0,550.00 mg,21.00 g,8.00 g,4.6 g,1.25 g
"Emu, raw, full rump",100 g,112,1.6g,85mg,90.00 mg,22.83 g,0.00 g,0.0 g,0.00 g
"Mustard greens, raw",100 g,27,0.4g,0,20.00 mg,2.86 g,4.67 g,3.2 g,1.32 g
"Seaweed, raw, laver",100 g,35,0.3g,0,48.00 mg,5.81 g,5.11 g,0.3 g,0.49 g
"Sweet rolls, cheese",100 g,360,18g,76mg,357.00 mg,7.10 g,43.70 g,1.2 g,0
"Figs, stewed, dried",100 g,107,0.4g,0,4.00 mg,1.42 g,27.57 g,4.2 g,23.35 g
"Bread sticks, plain",100 g,412,9.5g,0,713.00 mg,12.00 g,68.40 g,3.0 g,1.26 g
"SILK Mocha, soymilk",100 g,58,1.4g,0,41.00 mg,2.06 g,9.05 g,0.0 g,7.41 g
Milk and cereal bar,100 g,413,11g,6mg,319.00 mg,6.47 g,72.05 g,0.4 g,45.97 g
"Bread, pumpernickel",100 g,250,3.1g,0,596.00 mg,8.70 g,47.50 g,6.5 g,0.53 g
"Game meat, raw, elk",100 g,111,1.5g,55mg,58.00 mg,22.95 g,0.00 g,0.0 g,0
"PACE, Pico De Gallo",100 g,31,0g,0,469.00 mg,0.00 g,9.38 g,0,6.25 g
"Ostrich, raw, round",100 g,116,2.4g,71mg,72.00 mg,21.99 g,0.00 g,0.0 g,0.00 g
"HORMEL, Cure 81 Ham",100 g,106,3.6g,51mg,1038.00 mg,18.43 g,0.21 g,0,0.00 g
"Prune juice, canned",100 g,71,0g,0,4.00 mg,0.61 g,17.45 g,1.0 g,16.45 g
"McDONALD'S, BIG MAC",100 g,257,15g,36mg,460.00 mg,11.82 g,20.08 g,1.6 g,3.97 g
"Soy flour, defatted",100 g,327,1.2g,0,20.00 mg,51.46 g,33.92 g,17.5 g,16.42 g
"Bread, toasted, egg",100 g,315,6.6g,56mg,417.00 mg,10.50 g,52.60 g,2.5 g,1.94 g
"Fish, raw, mahimahi",100 g,85,0.7g,73mg,88.00 mg,18.50 g,0.00 g,0.0 g,0
"Fish, raw, bluefish",100 g,124,4.2g,59mg,60.00 mg,20.04 g,0.00 g,0.0 g,0
"Spices, fennel seed",100 g,345,15g,0,88.00 mg,15.80 g,52.29 g,39.8 g,0
"Potatoes, skin, raw",100 g,58,0.1g,0,10.00 mg,2.57 g,12.44 g,2.5 g,0
"Pepper, raw, banana",100 g,27,0.5g,0,13.00 mg,1.66 g,5.35 g,3.4 g,1.95 g
"Drumstick pods, raw",100 g,37,0.2g,0,42.00 mg,2.10 g,8.53 g,3.2 g,0
"Toppings, pineapple",100 g,253,0.1g,0,42.00 mg,0.10 g,66.40 g,0.4 g,21.01 g
Acorn stew (Apache),100 g,95,3.5g,20mg,130.00 mg,6.81 g,9.22 g,0.7 g,0.34 g
"Tomatoes, sun-dried",100 g,258,3g,0,107.00 mg,14.11 g,55.76 g,12.3 g,37.59 g
